Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
41                       0.07714662426047855      179447                   0.0                      581.0234029349373        0.06298918575311492      0.7208860304603002       0                        0                        0.99929894               0.05                     1.1955137600501378       0.005                    0.31647979669893783      2e-05                    0.5312500058983763       -0.12770711              1.4284295                5.490473583491162        1.0                      0.9018088446723089       1e-04                    1385                     0.29539414608117304      1.064598969738893        0.6206088761488596       0.6822875440120697       0.19384039532054553      
42                       0.0789617133140564       183629                   0.0                      581.309918473225         0.062387018168989936     0.7210080514957365       0                        0                        0.999282212              0.05                     1.1443032007664442       0.005                    0.3048044753571351       2e-05                    0.5394864350867768       0.22846247               1.5697862                5.466279000946969        1.0                      0.8974630953085544       1e-04                    1418                     0.2986288359670928       1.0446631691672585       0.5942970911661783       0.6726412177085876       0.19367674143627436      
43                       0.0807134117020501       187811                   0.0                      581.439109803076         0.06208477747304437      0.7210951201267549       0                        0                        0.999265484              0.05                     1.3948910981416702       0.005                    0.3226125546110173       2e-05                    0.5859980643726885       -0.0644767               1.6277755                5.4352237431689945       1.0                      0.900869167212284        1e-04                    1451                     0.29717050417505125      1.0481731723053287       0.6378089090188345       0.6860824624697367       0.19241858010340218      
44                       0.08258635487821367      191993                   0.0                      581.1990657915771        0.062137464640596815     0.7211446014373823       0                        0                        0.999248756              0.05                     1.4333881083875895       0.005                    0.30517987130830687      2e-05                    0.5285852743933598       -0.50707614              1.7173873                5.367421930486505        1.0                      0.9029833475748698       1e-04                    1484                     0.29656381318063446      1.0514624239218355       0.6245732506116232       0.6816425124804179       0.18729089486478556      
45                       0.08449336515532599      196175                   0.0                      580.8578140169328        0.06207518402963002      0.7212858513708625       0                        0                        0.999232028              0.05                     1.399736496930321        0.005                    0.2931716466943423       2e-05                    0.47504845377989113      -0.92411625              1.6082536                5.332022002249053        1.0                      0.9028659107709172       1e-04                    1517                     0.2966826419637661       1.0438185412474352       0.5756175716718038       0.6618780493736267       0.1861347477845471       
46                       0.08635143379370372      200357                   0.0                      580.7596632255037        0.062201320705660666     0.7213185946195262       0                        0                        0.9992153                0.05                     1.197799587001403        0.005                    0.2931556333787739       2e-05                    0.4934593054155509       -0.723879                1.6904334                5.279942599209872        1.0                      0.9079164543537178       1e-04                    1550                     0.29543858345108803      1.0503487827801943       0.5741385718186697       0.6597070097923279       0.18252031730883048      
47                       0.088124853571256        204539                   0.0                      581.8099400913155        0.062061542540792825     0.7214268944983727       0                        0                        0.999198572              0.05                     1.3530003068347771       0.005                    0.32950156337271136      2e-05                    0.5748546534062674       -0.047988623             1.5099465                5.230141456681069        1.0                      0.905449886514683        1e-04                    1583                     0.29482289034910875      1.0517812208695847       0.5807138582070669       0.6589317917823792       0.17944716443919173      
48                       0.08991889463530646      208721                   0.0                      581.9442812121921        0.061977518186061724     0.7211848567544722       0                        0                        0.999181844              0.05                     1.2737902328372002       0.005                    0.3092562002129853       2e-05                    0.5411821731055776       -0.05905795              1.8829623                5.193329396874013        1.0                      0.902396134655885        1e-04                    1616                     0.2962148598950319       1.0387924464062006       0.6305437684059143       0.6713712612787882       0.17777825846816553      
49                       0.09167107072141435      212903                   0.0                      581.2484501874394        0.06180742870692949      0.7211946135334025       0                        0                        0.999165116              0.05                     1.2272055844465892       0.005                    0.31421747819210094      2e-05                    0.5159883760691931       -0.49151388              1.4241273                5.172477645103378        1.0                      0.9063894965431908       1e-04                    1649                     0.29687655092489834      1.0352633312495068       0.6301888326803843       0.6748742063840231       0.17752707124960543      
50                       0.09335825708177355      217085                   0.0                      583.5407476510258        0.06171037454822758      0.7209778910079675       0                        0                        0.9991483879999999       0.049999999999999996     1.2985213119536638       0.005                    0.302676177273194        2e-05                    0.5065407011037072       -0.04703154              1.7151501                5.1397665004537565       1.0                      0.9108527790416371       1e-04                    1682                     0.2934168324326024       1.0477687373305813       0.6084853907426199       0.6596726675828298       0.17592678407225945      
